,param_tol,param_shrinking,param_kernel,param_gamma,param_degree,param_coef0,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore
106,0.001,True,sigmoid,0.2,3,0.15000000000000002,"{'tol': 0.001, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 3, 'coef0': 0.15000000000000002}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
107,0.1,False,rbf,0.01,0,0.9500000000000001,"{'tol': 0.1, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 0, 'coef0': 0.9500000000000001}",0.18985270049099837,0.01674036150216822,25,0.6084096359135069,0.006321597293086441,
108,1e-05,True,sigmoid,0.01,4,0.7000000000000001,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 4, 'coef0': 0.7000000000000001}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
109,0.0001,True,rbf,0.05,1,0.25,"{'tol': 0.0001, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 1, 'coef0': 0.25}",0.1783960720130933,0.012867608334345231,39,0.7548648520810113,0.006331637152035541,
110,0.001,False,sigmoid,0.2,5,0.8,"{'tol': 0.001, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 5, 'coef0': 0.8}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
111,0.01,True,sigmoid,auto,3,0.45,"{'tol': 0.01, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 3, 'coef0': 0.45}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
112,1e-05,True,rbf,0.05,3,0.2,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3, 'coef0': 0.2}",0.1783960720130933,0.012867608334345231,39,0.7548648520810113,0.006331637152035541,
113,1e-08,False,sigmoid,0.2,2,1.0,"{'tol': 1e-08, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 2, 'coef0': 1.0}",0.15220949263502456,0.009286875863431592,174,0.15225785175067374,0.0023575077959626677,
114,0.0001,False,sigmoid,0.01,3,0.25,"{'tol': 0.0001, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'coef0': 0.25}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
115,0.0001,True,sigmoid,0.15,3,0.4,"{'tol': 0.0001, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 3, 'coef0': 0.4}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
116,0.001,False,rbf,0.1,0,0.55,"{'tol': 0.001, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 0, 'coef0': 0.55}",0.1718494271685761,0.019563813464498318,58,0.8089357346829879,0.0036333560448614955,
117,0.01,True,sigmoid,0.05,4,0.75,"{'tol': 0.01, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.05, 'degree': 4, 'coef0': 0.75}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
118,1e-06,False,rbf,0.01,5,0.30000000000000004,"{'tol': 1e-06, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 5, 'coef0': 0.30000000000000004}",0.18985270049099837,0.01674036150216822,25,0.6100446257587564,0.00592771123710777,
119,1e-09,True,rbf,0.15,4,0.8500000000000001,"{'tol': 1e-09, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 4, 'coef0': 0.8500000000000001}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
120,1e-07,False,rbf,0.15,0,0.45,"{'tol': 1e-07, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 0, 'coef0': 0.45}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
