,Equivalence Method,Class Accuracy,User Accuracy,Largest Possible Class Size,Max Class Size,Mean Class Size,Min Class Size,gamma,kernel,Class Size 1 Count,Class Size 2 Count,Class Size 3 Count,Class Size 4 Count,Class Size 5 Count,Class Size 6 Count,Class Size 7 Count,Class Size 8 Count,Class Size 9 Count,Class Size 10 Count,Class Size 11 Count,Class Size 12 Count,Class Size 13 Count,Class Size 14 Count,Class Size 15 Count,Class Size 16 Count,Class Size 17 Count,Class Size 18 Count,Class Size 19 Count,Class Size 20 Count,Class Size 21 Count,Class Size 22 Count,Class Size 23 Count,Class Size 24 Count,Class Size 25 Count
0,JUMP,8.92137096774194,4.83870967741936,251,8,2.29838709677419,1,scale,poly,593,417,792,168,7,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SCORE_DIST,9.62701612903226,4.83870967741936,251,5,2.53377016129032,1,scale,poly,496,440,545,499,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PERCENTILES,47.4798387096774,4.83870967741936,251,25,25,25,scale,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
